Sample_ID,Stage,Region,Area,Volume
HH17_sample_0,HH17,Forebrain,630265.1535574906,34553967.14286286
HH17_sample_0,HH17,Midbrain,351540.2898786045,30809123.91101656
HH17_sample_0,HH17,Hindbrain,1137997.481974463,73148884.66475776
HH17_sample_1,HH17,Forebrain,813032.7314736387,73428867.14841795
HH17_sample_1,HH17,Midbrain,445078.54849424504,18175141.032947484
HH17_sample_1,HH17,Hindbrain,1100104.3143550823,61580525.321496055
HH17_sample_2,HH17,Forebrain,891448.3429144799,52237659.121367075
HH17_sample_2,HH17,Midbrain,537198.8594613075,49451143.84250057
HH17_sample_2,HH17,Hindbrain,710560.283994261,42249845.96243091
HH17_sample_3,HH17,Forebrain,718738.3438868073,50702558.56578022
HH17_sample_3,HH17,Midbrain,315922.59836757195,36053177.71875062
HH17_sample_3,HH17,Hindbrain,728968.5978216664,35363409.82651439
HH17_sample_4,HH17,Forebrain,650469.7100854921,48669229.65795827
HH17_sample_4,HH17,Midbrain,340276.3210276738,7504574.664511517
HH17_sample_4,HH17,Hindbrain,649168.9987795007,31062252.471267853
HH17_sample_5,HH17,Forebrain,770179.3251274975,26994542.26484122
HH17_sample_5,HH17,Midbrain,476081.61523281434,83080417.73132287
HH17_sample_5,HH17,Hindbrain,894393.5114800583,61179432.017484754
HH17_sample_6,HH17,Forebrain,862356.5430073743,70019278.50847423
HH17_sample_6,HH17,Midbrain,483907.401860844,20546626.4506353
HH17_sample_6,HH17,Hindbrain,939849.6156853009,52747733.701961994
HH20_sample_0,HH20,Forebrain,3764983.421526772,349119286.8087147
HH20_sample_0,HH20,Midbrain,2830438.098161831,980319326.2156503
HH20_sample_0,HH20,Hindbrain,4934861.672380575,629768181.9591621
HH20_sample_1,HH20,Forebrain,2990438.182691059,270786660.32988065
HH20_sample_1,HH20,Midbrain,2255893.492658716,616026193.9195873
HH20_sample_1,HH20,Hindbrain,3856103.0905207996,345219580.968634
HH20_sample_2,HH20,Forebrain,2422778.7130322196,234267133.36687484
HH20_sample_2,HH20,Midbrain,1856234.090005531,348395861.2774893
HH20_sample_2,HH20,Hindbrain,3371700.959892024,293962765.64266396
HH20_sample_3,HH20,Forebrain,2859206.377889957,344621533.8584827
HH20_sample_3,HH20,Midbrain,1950614.2112029924,265112164.5879042
HH20_sample_3,HH20,Hindbrain,3700642.4504882353,429879638.9895762
HH20_sample_4,HH20,Forebrain,3226141.916847454,342736993.4988966
HH20_sample_4,HH20,Midbrain,2254654.475587585,542503723.8328551
HH20_sample_4,HH20,Hindbrain,2947161.204558897,163218659.85794756
HH20_sample_5,HH20,Forebrain,3351947.523017902,415318880.89834195
HH20_sample_5,HH20,Midbrain,2493142.710537036,882925542.2104683
HH20_sample_5,HH20,Hindbrain,2869644.4257670436,294169690.72474366
